"","ilitotal","percent_weighted_ili","percent_unweighted_ili","pw_trans","puw_trans","year","week","age_0_4","age_5_24","age_25_64","age_65","num_of_providers","non_ilitotal"
"1",6.34738920965601,1.10148,1.21686,-4.40952849468804,-4.31666399627054,1997,40,5.19295685089021,5.32787616878958,5.06259503302697,3.40119738166216,5.26269018890489,10.7423139166265
"2",6.42324696353352,1.20007,1.28064,-4.32966612804764,-4.26872043144119,1997,41,5.29831736654804,5.49306144334055,5.02388052084628,3.17805383034795,5.25749537202778,10.7665673630772
"3",6.52502965784346,1.37876,1.23906,-4.19906826069413,-4.2997212481665,1997,42,5.43372200355424,5.58724865840025,5.03695260241363,3.55534806148941,5.39362754635236,10.901929536771
"4",6.4831073514572,1.1992,1.14473,-4.33034436135112,-4.37372613051823,1997,43,5.24174701505964,5.46806014113513,5.26785815906333,3.61091791264422,5.36597601502185,10.9400825834537
"5",6.55250788703459,1.65618,1.26112,-4.02431135235334,-4.28315761412608,1997,44,5.38449506278909,5.63835466933375,5.09375020080676,3.73766961828337,5.36597601502185,10.9115732020047
"6",6.48616078894409,1.41326,1.28275,-4.17565565576548,-4.26717192570416,1997,45,5.18738580584075,5.64190707093811,5.00394630594546,3.89182029811063,5.27811465923052,10.8279051716219
"7",6.83840520084734,1.9868,1.44579,-3.84844957974209,-4.15405646046708,1997,46,5.68697535633982,5.79605775076537,5.48479693349065,4.26267987704132,5.51745289646471,11.059298994955
"8",7.00397413672268,2.44749,1.64796,-3.64425662173026,-4.02908662021627,1997,47,5.66642668811243,6.1246833908942,5.68357976733868,4.15888308335967,5.54907608489522,11.0920928797309
"9",6.78784498230958,1.73901,1.67517,-3.97738150258107,-4.01336284173357,1997,48,5.59471137960184,5.8406416573734,5.33271879326537,4.24849524204936,5.53338948872752,10.8590951467872
"10",7.00215595440362,1.93919,1.61739,-3.87201483054701,-4.04704140759294,1997,49,5.7037824746562,6.03068526026126,5.64544689764324,4.63472898822964,5.53733426701854,11.1093086477197
"11",6.98841318199959,2.28166,1.76632,-3.71326766205272,-3.96236205324882,1997,50,5.84932477994686,5.96357934361845,5.59471137960184,4.40671924726425,5.49306144334055,11.00595905153
"12",6.91274282049318,2.50761,2.10398,-3.62031398317433,-3.79261906407684,1997,51,5.85507192220243,5.89440283426485,5.46383180502561,4.0943445622221,5.25227342804663,10.7518419973985
"13",7.32646561384032,4.11352,3.13655,-3.12382314480208,-3.39776139266426,1997,52,6.2363695902037,6.20050917404269,6.00388706710654,4.7361984483945,5.52942908751142,10.7560074685116
"14",7.5740450053722,5.62372,3.7185,-2.80161067669633,-3.22637935613956,1997,53,6.36302810354046,6.3578422665081,6.37161184723186,5.33753807970132,5.52545293913178,10.8275083304722
"15",7.78986855905471,4.37398,3.59225,-3.06112027832372,-3.26131276491558,1998,1,6.46146817635372,6.69826805411541,6.63331843328038,5.33753807970132,5.54126354515843,11.0792769083878
"16",7.86863689418417,4.19434,3.68922,-3.1039795632922,-3.23438121644138,1998,2,6.53813982376767,7.02286808608264,6.48463523563525,5.00394630594546,5.54517744447956,11.1304344204219
"17",8.04782935745784,5.42123,4.60396,-2.83977449162217,-3.00858354964744,1998,3,6.75343791859778,7.27309259599952,6.52209279817015,5.02388052084628,5.50533153593236,11.078644128844
"18",8.1426451859428,5.66137,4.91007,-2.79465488879731,-2.94232099892709,1998,4,6.71538338633468,7.37838371299671,6.70686233660275,5.28320372873799,5.50533153593236,11.1059041465948
"19",8.11820704940578,5.97802,4.82687,-2.737785452584,-2.95994248694882,1998,5,6.78219205600679,7.29437729928882,6.64639051484773,5.4553211153577,5.48063892334199,11.0994231448295
"20",7.87016594646984,4.7358,3.9459,-2.97955724524809,-3.16616592945818,1998,6,6.5510803350434,7.00488198971286,6.51025834052315,4.99043258677874,5.45958551414416,11.0620340286473
"21",7.57507169950756,3.44581,3.1081,-3.30330155588999,-3.40688445150715,1998,7,6.12686918411419,6.74523634948436,6.26149168432104,4.78749174278205,5.41164605185504,11.0141601556966
"22",7.16239749735572,2.47799,2.13953,-3.63204213494572,-3.77625428068125,1998,8,5.74939298590825,6.28226674689601,5.80211837537706,4.72738781871234,5.38449506278909,10.9845975660681
"23",6.71901315438526,1.65732,1.43954,-4.02365082290713,-4.15817137576042,1998,9,5.48893772615669,5.73334127689775,5.37063802812766,4.17438726989564,5.35658627467201,10.9441705420733
"24",6.61873898351722,1.96952,1.47879,-3.85694114285088,-4.1325975987494,1998,10,5.3082676974012,5.72358510195238,5.21493575760899,4.0943445622221,5.34233425196481,10.8164728274016
"25",6.37331978957701,1.58545,1.08556,-4.06613944201242,-4.42302851112164,1998,11,5.09375020080676,5.52146091786225,4.82028156560504,3.95124371858143,5.30330490805908,10.8837854143846
"26",6.18826412308259,1.80474,0.997967,-3.94159353103676,-4.5006695065438,1998,12,5.05624580534831,5.28320372873799,4.54329478227,3.73766961828337,5.18178355029209,10.7834047142959
"27",5.88332238848828,1.04624,0.744205,-4.45715456587352,-4.7660522229398,1998,13,4.51085950651685,4.97673374242057,4.53259949315326,3.49650756146648,5.20948615284142,10.7736924602149
"28",5.91079664404053,1.4004,0.856631,-4.1843207480305,-4.63989536673825,1998,14,4.4188406077966,5.03043792139244,4.54329478227,3.73766961828337,5.14166355650266,10.6594217211948
"29",5.57215403217776,0.79687,0.621737,-4.70500538005808,-4.92402111715054,1998,15,4.17438726989564,4.67282883446191,4.30406509320417,2.99573227355399,5.05624580534831,10.6425397869535
"30",5.5834963087817,0.717097,0.670954,-4.79896311476619,-4.85755734382624,1998,16,4.4188406077966,4.61512051684126,4.23410650459726,2.77258872223978,5.04985600724954,10.5772480192959
"31",5.58724865840025,1.00238,0.694082,-4.49661369474971,-4.82776621827773,1998,17,4.07753744390572,4.79579054559674,4.12713438504509,3.3322045101752,5.00394630594546,10.5468928662012
"32",5.34710753071747,0.908403,0.583457,-4.58666707640718,-4.97890368963088,1998,18,3.68887945411394,4.54329478227,4.17438726989564,2.63905732961526,4.91998092582813,10.4804660187216
"33",5.23110861685459,0.443014,0.57764,-5.21034542587958,-4.98750982744579,1998,19,4.38202663467388,4.12713438504509,3.63758615972639,2.30258509299405,4.88280192258637,10.3739598219529
"34",5.11198778835654,0.638986,0.605216,-4.90022918843553,-4.94734418209447,1998,20,4.00733318523247,3.97029191355212,3.71357206670431,2.99573227355399,4.79579054559674,10.207252105818
"35",0,0,0,-6.90675477864855,-6.90675477864855,1998,21,0,0,0,0,0,0
"36",0,0,0,-6.90675477864855,-6.90675477864855,1998,22,0,0,0,0,0,0
"37",0,0,0,-6.90675477864855,-6.90675477864855,1998,23,0,0,0,0,0,0
"38",0,0,0,-6.90675477864855,-6.90675477864855,1998,24,0,0,0,0,0,0
"39",0,0,0,-6.90675477864855,-6.90675477864855,1998,25,0,0,0,0,0,0
"40",0,0,0,-6.90675477864855,-6.90675477864855,1998,26,0,0,0,0,0,0
"41",0,0,0,-6.90675477864855,-6.90675477864855,1998,27,0,0,0,0,0,0
"42",0,0,0,-6.90675477864855,-6.90675477864855,1998,28,0,0,0,0,0,0
"43",0,0,0,-6.90675477864855,-6.90675477864855,1998,29,0,0,0,0,0,0
"44",0,0,0,-6.90675477864855,-6.90675477864855,1998,30,0,0,0,0,0,0
"45",0,0,0,-6.90675477864855,-6.90675477864855,1998,31,0,0,0,0,0,0
"46",0,0,0,-6.90675477864855,-6.90675477864855,1998,32,0,0,0,0,0,0
"47",0,0,0,-6.90675477864855,-6.90675477864855,1998,33,0,0,0,0,0,0
"48",0,0,0,-6.90675477864855,-6.90675477864855,1998,34,0,0,0,0,0,0
"49",0,0,0,-6.90675477864855,-6.90675477864855,1998,35,0,0,0,0,0,0
"50",0,0,0,-6.90675477864855,-6.90675477864855,1998,36,0,0,0,0,0,0
"51",0,0,0,-6.90675477864855,-6.90675477864855,1998,37,0,0,0,0,0,0
"52",0,0,0,-6.90675477864855,-6.90675477864855,1998,38,0,0,0,0,0,0
"53",0,0,0,-6.90675477864855,-6.90675477864855,1998,39,0,0,0,0,0,0
"54",6.19644412779452,1.57733,0.697291,-4.07105137766697,-4.82370087002043,1998,40,4.75359019110636,5.35185813347607,4.9416424226093,3.29583686600433,5.72031177660741,11.153145706078
"55",6.40687998606931,1.3088,0.784777,-4.24824372993286,-4.71870268517834,1998,41,4.89783979995091,5.57215403217776,5.16478597392351,3.61091791264422,5.79605775076537,11.2448891447653
"56",6.66440902035041,1.41744,0.902906,-4.1728547722094,-4.59218871042397,1998,42,5.38449506278909,5.66296048013595,5.42053499927229,4.00733318523247,5.86078622346587,11.3613813850079
"57",6.99117688712121,1.18272,1.13792,-4.34327718379076,-4.37928117359455,1998,43,5.63121178182137,6.27476202124194,5.4249500174814,3.97029191355212,5.93489419561959,11.4547877482403
"58",6.94215670569947,2.33432,1.01551,-3.69085833548146,-4.48464070181436,1998,44,5.70044357339069,6.0282785202307,5.57215403217776,4.11087386417331,5.96357934361845,11.5207745799136
"59",6.93049476595163,1.81577,1.0009,-3.93570696872721,-4.49797211139193,1998,45,5.55682806169954,5.99893656194668,5.68017260901707,4.26267987704132,5.99396142730657,11.5237368111819
"60",7.07242190053737,2.17975,1.13895,-3.75804301688455,-4.3784390495476,1998,46,5.87493073085203,6.17170059741091,5.64190707093811,4.17438726989564,5.92157841964382,11.535195633616
"61",7.09754885061479,2.1124,1.44938,-3.78871988049788,-4.15170025176849,1998,47,5.67675380226828,6.24027584517077,5.77765232322266,4.43081679884331,6.00141487796115,11.3161682130999
"62",7.07072410726028,2.04854,1.13908,-3.81866207282809,-4.37833281118321,1998,48,5.76832099579377,6.11809719804135,5.73979291217923,4.55387689160054,5.97380961186926,11.5333749418376
"63",7.09257371597468,1.93248,1.16023,-3.87537927287154,-4.36119355949061,1998,49,5.86929691313377,6.13556489108174,5.71702770140622,4.45434729625351,5.99146454710798,11.5366322259149
"64",7.04053639021596,1.90468,1.17127,-3.88943527540479,-4.35235958737231,1998,50,5.74620319054015,6.05678401322862,5.77144112313002,4.43081679884331,5.98393628068719,11.4749743455417
"65",6.97073007814353,2.55983,1.49061,-3.59994953988265,-4.12501863587774,1998,51,5.8171111599632,5.88610403145016,5.6937321388027,4.31748811353631,5.95324333428778,11.160768869333
"66",7.26122509197192,3.99108,1.84288,-3.15458999724263,-3.92137875769481,1998,52,6.03787091992214,5.93489419561959,6.1463292576689,5.09375020080676,5.94803498918065,11.2357744128247
"67",7.48493028328966,3.08581,1.8239,-3.41408700064575,-3.93138933209812,1999,1,6.08677472691231,6.30809844150953,6.49223983502047,4.90527477843843,5.98393628068719,11.4701640910689
"68",7.78655180642871,4.16383,2.54354,-3.11142836158534,-3.60626016008344,1999,2,6.06842558824411,6.77422388635761,6.87005341179813,4.94875989037817,5.98393628068719,11.431997365453
"69",8.25971696102152,5.58049,3.61581,-2.80965056451719,-3.25470744147433,1999,3,6.68710860786651,7.43248380791712,7.06390396147207,5.33271879326537,5.99146454710798,11.5424939759025
"70",8.42200300441249,5.25328,4.07912,-2.87244176590571,-3.13237991724216,1999,4,6.62804137617953,7.68982866873648,7.25841215059531,5.23110861685459,5.98645200528444,11.5794339195143
"71",8.64312074801403,6.74667,5.0776,-2.61048444251379,-2.90766403982747,1999,5,6.87832646829133,7.97933889526233,7.35436233042148,5.39362754635236,5.98645200528444,11.5711755049917
"72",8.66025403425689,7.57188,5.04884,-2.48778705766552,-2.91353747955658,1999,6,6.93731408122368,7.97659540931658,7.37274636640433,5.47227067367148,5.94017125272043,11.5942934479246
"73",8.50126704086598,6.87287,4.69331,-2.59086426631474,-2.98882901669663,1999,7,6.71295620067707,7.73017479524622,7.37775890822787,5.41610040220442,5.93224518744801,11.5120350686851
"74",8.40893960597598,6.35098,4.23423,-2.674253519733,-3.09431658376056,1999,8,6.68586094706836,7.56682847920833,7.32712329225929,5.45958551414416,5.8664680569333,11.527429767173
"75",8.27154837475551,5.41099,4.02363,-2.84173925109372,-3.14632570561464,1999,9,6.64639051484773,7.34213173058472,7.21376830811864,5.48893772615669,5.88610403145016,11.4432216265204
"76",7.98036576511125,4.55008,2.99348,-3.02066906927957,-3.44445013169574,1999,10,6.29156913955832,7.03966034986208,6.94889722231331,5.31320597904179,5.8636311755981,11.4583742376991
"77",7.63578686139558,3.85915,2.37759,-3.18874426603096,-3.67279588424239,1999,11,6.12905021006055,6.65801104587075,6.55819780281227,4.87519732320115,5.82894561761021,11.3503359447457
"78",7.43661726523423,2.99601,2.01715,-3.44360650882316,-3.83370051081094,1999,12,5.93753620508243,6.46458830368996,6.30809844150953,4.86753445045558,5.77455154554441,11.3191465222859
"79",6.99576615630485,1.97814,1.37688,-3.85269655080051,-4.20035948696743,1999,13,5.4971682252932,5.98645200528444,5.94803498918065,4.24849524204936,5.74939298590825,11.2663469473969
"80",6.45047042214418,1.16887,0.88283,-4.35427355629766,-4.6126123832105,1999,14,4.85203026391962,5.5834963087817,5.31320597904179,3.66356164612965,5.62762111369064,11.1698293387504
"81",5.98393628068719,1.09302,0.613811,-4.41668034259706,-4.9351435353587,1999,15,4.63472898822964,5.17048399503815,4.63472898822964,2.89037175789616,5.59471137960184,11.0685116067235
"82",5.605802066296,0.633169,0.42177,-4.90819053137895,-5.25046722748057,1999,16,4.0943445622221,4.89783979995091,4.20469261939097,2.63905732961526,5.55682806169954,11.0663727020572
"83",5.99146454710798,0.639561,0.615513,-4.89944560494327,-4.93274484632018,1999,17,4.71849887129509,5.01727983681492,4.77912349311153,3.04452243772342,5.54517744447956,11.0732725573248
"84",5.19849703126583,1.55531,0.302287,-4.08449025006178,-5.51172871722143,1999,18,3.58351893845611,4.44265125649032,3.93182563272433,2.484906649788,5.47227067367148,10.991493795417
"85",5.68017260901707,0.80802,0.522623,-4.69253738389757,-5.07273857198552,1999,19,4.63472898822964,4.46590811865458,4.48863636973214,2.83321334405622,5.42934562895444,10.9255966952181
"86",5.64897423816121,1.33997,0.529526,-4.22604352413072,-5.06164315101276,1999,20,4.61512051684126,4.61512051684126,4.23410650459726,2.77258872223978,5.40717177146012,10.8810991343919
"87",0,0,0,-6.90675477864855,-6.90675477864855,1999,21,0,0,0,0,0,0
"88",0,0,0,-6.90675477864855,-6.90675477864855,1999,22,0,0,0,0,0,0
"89",0,0,0,-6.90675477864855,-6.90675477864855,1999,23,0,0,0,0,0,0
"90",0,0,0,-6.90675477864855,-6.90675477864855,1999,24,0,0,0,0,0,0
"91",0,0,0,-6.90675477864855,-6.90675477864855,1999,25,0,0,0,0,0,0
"92",0,0,0,-6.90675477864855,-6.90675477864855,1999,26,0,0,0,0,0,0
"93",0,0,0,-6.90675477864855,-6.90675477864855,1999,27,0,0,0,0,0,0
"94",0,0,0,-6.90675477864855,-6.90675477864855,1999,28,0,0,0,0,0,0
"95",0,0,0,-6.90675477864855,-6.90675477864855,1999,29,0,0,0,0,0,0
"96",0,0,0,-6.90675477864855,-6.90675477864855,1999,30,0,0,0,0,0,0
"97",0,0,0,-6.90675477864855,-6.90675477864855,1999,31,0,0,0,0,0,0
"98",0,0,0,-6.90675477864855,-6.90675477864855,1999,32,0,0,0,0,0,0
"99",0,0,0,-6.90675477864855,-6.90675477864855,1999,33,0,0,0,0,0,0
"100",0,0,0,-6.90675477864855,-6.90675477864855,1999,34,0,0,0,0,0,0
"101",0,0,0,-6.90675477864855,-6.90675477864855,1999,35,0,0,0,0,0,0
"102",0,0,0,-6.90675477864855,-6.90675477864855,1999,36,0,0,0,0,0,0
"103",0,0,0,-6.90675477864855,-6.90675477864855,1999,37,0,0,0,0,0,0
"104",0,0,0,-6.90675477864855,-6.90675477864855,1999,38,0,0,0,0,0,0
"105",0,0,0,-6.90675477864855,-6.90675477864855,1999,39,0,0,0,0,0,0
"106",6.67456139181443,0.831219,0.977255,-4.66707516491108,-4.51992305301375,1999,40,5.57972982598622,5.61312810638807,5.43372200355424,3.29583686600433,5.75890177387728,11.2916676345662
"107",6.90575327631146,1.40445,1.06706,-4.18158398658925,-4.43894318413332,1999,41,5.68017260901707,5.8636311755981,5.6970934865054,4.06044301054642,5.89164421182577,11.4342934284987
