"actual","forecast","residuals"
104700.000000001,106968.299962275,0.0515866075737854
94775.9999999974,107438.561942589,-0.0506655767708661
84989.0000000024,96147.7692350679,-0.0486815058586565
78491.9999999984,80970.124826497,0.0435402376484202
73783.0000000033,74630.080883565,0.0631536677140065
68551.9999999994,72833.742947722,0.0139343671175425
64523.0000000013,68247.6438606385,0.0183549515219319
57546.9999999986,65651.3720661142,-0.0573279485282399
55417.9999999974,56929.3183634745,0.047463871771976
53521.0000000016,56803.6111260332,0.0147883420771873
50412.9999999983,57178.9241200353,-0.0516751393129518
49409.9999999977,53758.5357760941,-0.0101470684754208
47573.0000000022,48650.5139833945,0.0517507127742949
44744.9999999991,50846.1790080095,-0.0537143049771984
41224.9999999987,43831.3874036565,0.0127554488563515
37749.0000000011,43116.8627494369,-0.0589388679740956
35809.9999999983,39395.0657796388,-0.0214546070356256
35224.0000000007,36839.8351687673,0.0290431441816743
32129.9999999997,39063.1146891016,-0.121551108586299
35017.0000000013,34191.0386551122,0.0976423179750086
33356.9999999994,38575.990613396,-0.071645805071773
34815.9999999998,37267.5492425603,0.00560296959251261
35018.9999999985,38090.9979054642,-0.0105066860118352
35084.999999999,40372.844585598,-0.0668697375000189
37048.9999999988,41446.9323176126,-0.0387228587527471
41838.9999999998,44184.393285181,0.0188443478086882
45676.0000000022,49354.1353824351,-0.00412781808830509
44740.0000000015,52857.4880271689,-0.0934754150909498
46653.999999999,48442.7233550343,0.0355882933684271
48504.0000000008,55378.8049063515,-0.0593134230689536
46845.9999999978,60618.1160523708,-0.184466972173743
49676.0000000003,56299.6511050951,-0.0518092839477919
51656.0000000002,56265.3492730063,-0.0120411444722546
53461.0000000026,59266.5201855284,-0.0296012155882028
59813.9999999997,67802.5325723356,-0.051818731123296
61076.0000000008,76562.6388082202,-0.152433890362204
65982.9999999979,72547.2115907417,-0.0212876541610427
69292.999999997,75391.4653477538,-0.0108137834511179
75861.9999999974,75065.1541479176,0.0840586859438659
73942.999999999,100429.257390568,-0.232694273494264
87437.0000000042,90917.1281376246,0.0344061163853855
100758.000000005,97192.6661424638,0.10939390873382
133011.999999997,127697.99305887,0.114067826844538
167410.999999998,155886.475747522,0.144578254390112
164458,154802.913180665,0.133775980778278
139494,154073.826988531,-0.0261474879490642
156728.999999998,130635.542354557,0.255304888109361
179703.999999995,154466.069162571,0.224516582611916
214625.000000004,186650.215275439,0.212840513233038
222651.999999999,214268.35881111,0.1116426508275
192807.000000005,203278.889510481,0.0204706194872628
156807.999999995,172040.999283097,-0.0193075323678809
133099,153011.609554781,-0.0660183742223044
114115.999999997,130647.914226763,-0.0619132933116173
103495.999999997,108893.664281061,0.0224956622056887
87568.0000000011,100296.188395992,-0.0624235412177079
77149.9999999997,88144.6421868037,-0.0599929606760661
66660.0000000028,73709.1863806039,-0.027345577627182
61065.9999999973,65478.9580584314,0.0033412701534683
56759.0000000012,62831.1599861656,-0.0285845936924609
54691.0000000015,58177.5685641489,0.0111888711919725
50061.9999999977,58044.2439536024,-0.0750149401055165
47466.9999999986,52062.3395027311,-0.0195396564323289
46500.0000000021,50217.9379580993,-0.00411547216081765
44990.9999999983,46905.2644082523,0.0310720616734343
43367.9999999988,47799.0594774161,-0.0246045593091022
39018.9999999999,42316.0721552547,-0.00850349730474242
34362.9999999984,40103.4422057172,-0.081929085818242
31433.0000000008,35947.4578992454,-0.0617107579416007
28824.9999999986,32727.4123716311,-0.0545419054149665
25534.9999999991,31518.2230844807,-0.138142377400152
26358.9999999989,27580.7856696067,0.0270204550871096
24764.9999999989,29943.5077223967,-0.117601311040248
25095.9999999997,27960.128287843,-0.0358354177364877
25180.9999999989,27752.1032082724,-0.0250359026115383
27257.0000000011,29173.7722566427,0.00417404553974166
29174.9999999995,33957.723304341,-0.0797084923539
35041.9999999998,36103.953546243,0.0422006359953979
41515.0000000008,40985.754545147,0.0848290578110795
42037.9999999988,48239.3784937355,-0.065655780210756
42083.0000000009,47516.327042411,-0.0495361523406501
41955.0000000002,48613.9779170388,-0.0754217572137552
39771.0000000014,47176.5301754086,-0.0988617916877566
41524.9999999993,48494.4398995756,-0.0831970070351531
41503.9999999985,48847.4450188247,-0.090903428854384
41959.9999999995,47780.8259528562,-0.0578493383699819
44201.0000000014,52190.2632760708,-0.0940473442880929
45662.0000000011,54060.0991045866,-0.0967034227365513
54420.9999999977,52361.8224130213,0.110682525491232
56887.999999999,66405.2571518342,-0.0826201286898698
66224.999999999,67558.4782602164,0.0520735273834578
70418.0000000002,74044.1320813238,0.0217252341455243
87183.0000000018,81622.4625268716,0.13776454518247
114092.999999995,109242.504537999,0.115244091759115
171641.000000004,138909.739923078,0.283362074863199
215253.999999998,200165.18193297,0.144620394064058
187671.999999995,204527.521248494,-0.0138362805397154
146886.000000003,152839.129419911,0.0325215924959856
114422.000000006,139995.269618278,-0.129490367846691
109743,118563.407459326,-0.00514555598643618
103329,111529.351524676,-0.00427186375935484
110461.999999999,104346.169299431,0.128991292428505
117144.999999998,110901.942839572,0.126752520332998
111263.000000001,117271.546249686,0.0193672094076227
